0.84 R  1.724  1.717  1.414  0.873
0.92 R  1.956  1.947  1.599  0.987
1.00 R  2.175  2.165  1.770  1.085
1.10 R  2.428  2.417  1.959  1.177
1.20 R  2.669  2.657  2.127  1.238
1.30 R  2.929  2.916  2.292  1.282
1.40 R  3.209  3.194  2.449  1.309
1.50 R  3.516  3.498  2.598  1.324
1.60 R  3.834  3.813  2.724  1.324
1.70 R  4.157  4.131  2.822  1.310
1.80 R  4.465  4.434  2.891  1.288
1.90 R  4.757  4.717  2.933  1.259
2.00 R  5.020  4.970  2.954  1.226
2.10 R  5.249  5.187  2.957  1.188
2.20 R  5.455  5.379  2.950  1.150
2.30 R  5.635  5.543  2.937  1.114
2.40 R  5.792  5.683  2.917  1.076
2.50 R  5.951  5.822  2.901  1.045
3.00 R  6.660  6.390  2.799  0.896
0.02 I  0.009  0.009  0.003 -0.001
0.04 I  0.017  0.017  0.005 -0.003
0.06 I  0.027  0.026  0.008 -0.004
0.08 I  0.037  0.037  0.013 -0.004
0.10 I  0.049  0.049  0.019 -0.002
0.12 I  0.062  0.062  0.026  0.000
0.16 I  0.087  0.088  0.039  0.005
0.20 I  0.116  0.117  0.057  0.014
0.24 I  0.145  0.147  0.075  0.022
0.28 I  0.177  0.178  0.096  0.033
0.32 I  0.208  0.210  0.119  0.045
0.36 I  0.241  0.242  0.142  0.057
0.40 I  0.274  0.275  0.167  0.070
0.44 I  0.311  0.312  0.196  0.085
0.48 I  0.350  0.351  0.227  0.103
0.52 I  0.391  0.392  0.260  0.122
0.60 I  0.474  0.475  0.327  0.159
0.68 I  0.567  0.567  0.403  0.201
0.76 I  0.678  0.677  0.495  0.253
0.84 I  0.805  0.804  0.600  0.313
0.92 I  0.953  0.951  0.723  0.386
1.00 I  1.126  1.123  0.868  0.478
1.10 I  1.364  1.361  1.069  0.611
1.20 I  1.609  1.605  1.273  0.750
1.30 I  1.851  1.845  1.472  0.885
1.40 I  2.071  2.064  1.651  1.001
1.50 I  2.275  2.266  1.812  1.098
1.60 I  2.470  2.461  1.961  1.173
1.70 I  2.663  2.653  2.100  1.230
1.80 I  2.866  2.855  2.239  1.277
1.90 I  3.081  3.069  2.374  1.312
2.00 I  3.311  3.297  2.507  1.340
2.10 I  3.560  3.544  2.637  1.360
2.20 I  3.820  3.802  2.755  1.371
2.30 I  4.081  4.061  2.855  1.372
2.40 I  4.330  4.308  2.928  1.358
2.50 I  4.574  4.545  2.984  1.340
3.00 I  5.552  5.483  3.051  1.200
