0.12 R -0.143 -0.151 -0.209 -0.159
0.16 R -0.187 -0.199 -0.280 -0.210
0.20 R -0.232 -0.248 -0.351 -0.259
0.24 R -0.276 -0.298 -0.423 -0.307
0.28 R -0.319 -0.348 -0.498 -0.355
0.32 R -0.363 -0.397 -0.574 -0.403
0.36 R -0.406 -0.450 -0.653 -0.452
0.40 R -0.449 -0.502 -0.735 -0.502
0.44 R -0.491 -0.557 -0.818 -0.552
0.48 R -0.535 -0.616 -0.907 -0.602
0.52 R -0.579 -0.678 -0.996 -0.651
0.60 R -0.679 -0.818 -1.181 -0.751
0.68 R -0.789 -0.974 -1.368 -0.848
0.76 R -0.912 -1.150 -1.560 -0.941
0.84 R -1.049 -1.345 -1.750 -1.030
0.92 R -1.197 -1.547 -1.935 -1.113
1.00 R -1.359 -1.761 -2.117 -1.193
1.10 R -1.581 -2.047 -2.350 -1.292
1.20 R -1.827 -2.352 -2.586 -1.387
1.30 R -2.121 -2.700 -2.837 -1.483
1.40 R -2.468 -3.089 -3.092 -1.575
1.50 R -2.878 -3.522 -3.347 -1.662
1.60 R -3.329 -3.977 -3.583 -1.737
1.70 R -3.811 -4.446 -3.795 -1.802
1.80 R -4.290 -4.901 -3.976 -1.856
1.90 R -4.767 -5.340 -4.131 -1.903
2.00 R -5.208 -5.741 -4.260 -1.942
2.10 R -5.628 -6.111 -4.374 -1.976
2.20 R -6.009 -6.444 -4.468 -2.004
2.30 R -6.355 -6.739 -4.551 -2.027
2.40 R -6.671 -7.006 -4.624 -2.043
2.50 R -6.973 -7.257 -4.689 -2.053
3.00 R -8.310 -8.318 -4.950 -2.051
0.02 I -0.024 -0.027 -0.033 -0.026
0.04 I -0.050 -0.053 -0.065 -0.050
0.06 I -0.075 -0.078 -0.097 -0.074
0.08 I -0.099 -0.103 -0.130 -0.097
0.10 I -0.121 -0.126 -0.162 -0.119
0.12 I -0.144 -0.149 -0.194 -0.141
0.16 I -0.187 -0.195 -0.256 -0.184
0.20 I -0.229 -0.239 -0.319 -0.225
0.24 I -0.270 -0.284 -0.380 -0.263
0.28 I -0.310 -0.328 -0.441 -0.302
0.32 I -0.348 -0.372 -0.501 -0.338
0.36 I -0.388 -0.417 -0.562 -0.374
0.40 I -0.426 -0.461 -0.624 -0.411
0.44 I -0.463 -0.507 -0.686 -0.448
0.48 I -0.501 -0.555 -0.750 -0.485
0.52 I -0.538 -0.602 -0.813 -0.521
0.60 I -0.620 -0.708 -0.945 -0.596
0.68 I -0.708 -0.819 -1.080 -0.671
0.76 I -0.800 -0.940 -1.221 -0.748
0.84 I -0.903 -1.076 -1.368 -0.828
0.92 I -1.013 -1.222 -1.520 -0.909
1.00 I -1.137 -1.382 -1.673 -0.987
1.10 I -1.309 -1.597 -1.867 -1.081
1.20 I -1.492 -1.815 -2.047 -1.164
1.30 I -1.686 -2.036 -2.221 -1.243
1.40 I -1.884 -2.253 -2.387 -1.314
1.50 I -2.090 -2.509 -2.552 -1.384
1.60 I -2.310 -2.704 -2.723 -1.456
1.70 I -2.545 -2.948 -2.904 -1.531
1.80 I -2.801 -3.212 -3.094 -1.608
1.90 I -3.085 -3.501 -3.295 -1.683
2.00 I -3.390 -3.807 -3.497 -1.754
2.10 I -3.735 -4.145 -3.703 -1.822
2.20 I -4.096 -4.495 -3.896 -1.880
2.30 I -4.466 -4.849 -4.074 -1.927
2.40 I -4.837 -5.199 -4.230 -1.963
2.50 I -5.204 -5.541 -4.366 -1.988
3.00 I -6.794 -6.977 -4.811 -2.014
0.02 J -0.025 -0.028 -0.031 -0.024
0.04 J -0.053 -0.055 -0.062 -0.046
0.06 J -0.079 -0.081 -0.092 -0.068
0.08 J -0.104 -0.107 -0.121 -0.090
0.10 J -0.128 -0.130 -0.150 -0.109
0.12 J -0.151 -0.152 -0.179 -0.128
0.16 J -0.195 -0.195 -0.238 -0.167
0.20 J -0.235 -0.234 -0.293 -0.201
0.24 J -0.271 -0.272 -0.347 -0.232
0.28 J -0.305 -0.308 -0.400 -0.263
0.32 J -0.338 -0.344 -0.450 -0.290
0.36 J -0.371 -0.383 -0.500 -0.317
0.40 J -0.405 -0.422 -0.550 -0.343
0.44 J -0.438 -0.459 -0.598 -0.368
0.48 J -0.473 -0.500 -0.647 -0.392
0.52 J -0.506 -0.541 -0.695 -0.415
0.60 J -0.577 -0.627 -0.792 -0.464
0.68 J -0.652 -0.715 -0.885 -0.510
0.76 J -0.726 -0.803 -0.975 -0.554
0.84 J -0.805 -0.897 -1.062 -0.597
0.92 J -0.881 -0.989 -1.144 -0.636
1.00 J -0.962 -1.084 -1.225 -0.676
1.10 J -1.071 -1.209 -1.335 -0.732
1.20 J -1.181 -1.332 -1.439 -0.783
1.30 J -1.298 -1.464 -1.550 -0.838
1.40 J -1.422 -1.598 -1.665 -0.894
1.50 J -1.558 -1.743 -1.786 -0.954
1.60 J -1.698 -1.889 -1.909 -1.015
1.70 J -1.847 -2.040 -2.036 -1.078
1.80 J -2.023 -2.222 -2.196 -1.158
1.90 J -2.212 -2.416 -2.354 -1.233
2.00 J -2.411 -2.618 -2.515 -1.306
2.10 J -2.614 -2.819 -2.664 -1.369
2.20 J -2.790 -2.987 -2.785 -1.416
2.30 J -2.963 -3.152 -2.901 -1.461
2.40 J -3.098 -3.277 -2.986 -1.489
2.50 J -3.168 -3.338 -3.026 -1.493
3.00 J -3.966 -4.104 -3.601 -1.647
0.02 H -0.027 -0.029 -0.030 -0.023
0.04 H -0.056 -0.058 -0.058 -0.043
0.06 H -0.083 -0.086 -0.086 -0.064
0.08 H -0.109 -0.111 -0.115 -0.084
0.10 H -0.134 -0.134 -0.142 -0.103
0.12 H -0.158 -0.157 -0.169 -0.121
0.16 H -0.204 -0.199 -0.225 -0.156
0.20 H -0.242 -0.234 -0.277 -0.188
0.24 H -0.276 -0.267 -0.328 -0.218
0.28 H -0.306 -0.299 -0.377 -0.246
0.32 H -0.336 -0.331 -0.424 -0.272
0.36 H -0.366 -0.366 -0.471 -0.297
0.40 H -0.398 -0.401 -0.517 -0.319
0.44 H -0.428 -0.436 -0.563 -0.341
0.48 H -0.462 -0.474 -0.608 -0.361
0.52 H -0.494 -0.510 -0.652 -0.380
0.60 H -0.559 -0.585 -0.737 -0.415
0.68 H -0.625 -0.657 -0.817 -0.446
0.76 H -0.690 -0.731 -0.891 -0.472
0.84 H -0.757 -0.807 -0.960 -0.495
0.92 H -0.822 -0.884 -1.024 -0.517
1.00 H -0.890 -0.962 -1.082 -0.537
1.10 H -0.977 -1.063 -1.155 -0.563
1.20 H -1.067 -1.162 -1.223 -0.592
1.30 H -1.158 -1.259 -1.286 -0.617
1.40 H -1.251 -1.355 -1.350 -0.644
1.50 H -1.348 -1.451 -1.415 -0.672
1.60 H -1.441 -1.542 -1.478 -0.698
1.70 H -1.537 -1.634 -1.545 -0.726
1.80 H -1.634 -1.728 -1.617 -0.758
1.90 H -1.734 -1.825 -1.695 -0.790
2.00 H -1.836 -1.928 -1.777 -0.826
2.10 H -1.942 -2.029 -1.856 -0.856
2.20 H -2.049 -2.131 -1.937 -0.888
2.30 H -2.160 -2.237 -2.022 -0.920
2.40 H -2.275 -2.347 -2.112 -0.952
2.50 H -2.386 -2.452 -2.198 -0.983
3.00 H -3.162 -3.206 -2.795 -1.202
0.02 K -0.028 -0.031 -0.030 -0.022
0.04 K -0.055 -0.058 -0.057 -0.043
0.06 K -0.083 -0.086 -0.084 -0.062
0.08 K -0.110 -0.113 -0.112 -0.080
0.10 K -0.136 -0.135 -0.137 -0.100
0.12 K -0.161 -0.158 -0.164 -0.115
0.16 K -0.208 -0.201 -0.214 -0.148
0.20 K -0.246 -0.233 -0.263 -0.179
0.24 K -0.280 -0.263 -0.308 -0.207
0.28 K -0.307 -0.290 -0.352 -0.231
0.32 K -0.335 -0.318 -0.396 -0.255
0.36 K -0.363 -0.350 -0.440 -0.277
0.40 K -0.393 -0.383 -0.483 -0.297
0.44 K -0.422 -0.416 -0.526 -0.315
0.48 K -0.455 -0.450 -0.569 -0.333
0.52 K -0.486 -0.485 -0.612 -0.349
0.60 K -0.549 -0.552 -0.694 -0.378
0.68 K -0.610 -0.618 -0.770 -0.402
0.76 K -0.670 -0.683 -0.840 -0.422
0.84 K -0.731 -0.749 -0.904 -0.439
0.92 K -0.786 -0.815 -0.961 -0.452
1.00 K -0.842 -0.880 -1.014 -0.463
1.10 K -0.915 -0.965 -1.073 -0.473
1.20 K -0.986 -1.044 -1.122 -0.480
1.30 K -1.061 -1.123 -1.166 -0.485
1.40 K -1.135 -1.198 -1.204 -0.486
